eid	doctype	pubyear	source_id	volume	issue	page-start	page-end
55149084149	ar	2008	25813.0	29	4	391	408
55249091872	re	2008	12196.0	494		187	208
55249104360	ar	2008	12196.0	494		223	246
55249105481	ar	2008	17625.0	7	9	4107	4118
55349087589	re	2008	1.0900153309E10	5	2-3	239	247
55349090984	ar	2009	13030.0	319	3-5	1252	1270
55349107269	ar	2008	5.700160617E9	19	4	438	465
55349144533	cp	2008	9.800153152E9	27	1	5	13
55449107481	ar	2008	4.00015181E9	4	10		
55549089276	ar	2008	14794.0	78	18	3195	3202
55549098895	ar	2008	14346.0	1242		291	302
55549107121	ar	2008	20894.0	13	7	462	470
55549134958	ar	2008	25788.0	18	23	6268	6272
55549136406	ar	2008	24577.0	54	1	98	108
55549145757	cp	2008	40067.0	7072			
55649105199	ar	2009	23894.0	256	1	149	178
55749087119	cp	2008	1.2600154764E10			3853	3859
55849092836	cp	2008	1.260015477E10			95	100
55849102493	ar	2008	24927.0	23	4	467	489
55849109201	cp	2008	1.260015477E10			403	408
55849109602	cp	2008	1.260015477E10			312	317
55849122596	cp	2008	1.260015477E10			306	311
55949096726	ar	2008	1.2700154701E10	12	1	75	80
55949098778	ar	2008	23306.0	295	2		
55949101085	ar	2008	28252.0	24	4	229	238
56049125260	ar	2008	21933.0	46	1	216	232
56249094517	cp	2008	40067.0	7073			
56249113358	ar	2008	21482.0	147	1-3	445	462
56249141866	ar	2008	15541.0	24	5	1147	1153
56349103712	ar	2008	24380.0	31	4	333	356
56349117943	ar	2008	15849.0	15	6	789	799
56349120651	ar	2008	27433.0	25	19		
56349135854	cp	2008	4.700151906E9	41-42		271	276
56349142433	ar	2008	15849.0	15	6	743	754
56349157120	ar	2008	28567.0	20	34		
56349158634	cp	2008	4.700151906E9	41-42		61	67
56449127819	ar	2008	13954.0	134	4	180	186
56549123829	ar	2009	15499.0	45	1	35	43
56649102173	ar	2009	12807.0	46	2	135	139
56649117683	ar	2008	17272.0	19	6	415	434
56749095567	cp	2008	144728.0				
56749146030	cp	2008	144728.0				
56749156521	cp	2008	25674.0	5258 LNCS		40	51
56749156950	ar	2008	12126.0	25	3	129	148
56749160804	cp	2008	89358.0			2226	2227
56749161557	ar	2008	16509.0	28	12	1182	1205
56749179344	cp	2008	89358.0			949	950
56749185981	cp	2008	89358.0			1953	1957
